Name,Status,Completed,Collin Rating,Valerie Rating,Genre,Source,Previously Seen By,Chosen By,imdb,Release Date
Big Fat Liar,Not started,,,,"Adventure, Comedy, Family",Netflix,"Collin, Valerie",,https://www.imdb.com/title/tt0265298/,"February 2, 2002"
My Old Ass,Not started,,,,Comedy,Theater,Neither,,https://www.imdb.com/title/tt18559464/,"September 13, 2024"
Captain America: Brave New World,Not started,,,,"Action, Adventure",Theater,,,https://www.imdb.com/title/tt14513804/,"February 12, 2025"
Heretic,Not started,,,,"Horror, Thriller",Theater,Neither,,https://www.imdb.com/title/tt28015403/,"October 24, 2024"
Bird Box Barcelona,Not started,,,,"Horror, Thriller",Netflix,Neither,,https://www.imdb.com/title/tt14400246/,"July 14, 2023"
His Three Daughters,Not started,,,,Drama,Netflix,Neither,,https://www.imdb.com/title/tt28491891/,"September 6, 2023"
The Last Unicorn,Not started,,,,"Adventure, Fantasy",Youtube,Valerie,,https://www.imdb.com/title/tt0084237/,"November 19, 1982"
Beavis and Butthead Do America,Not started,,,,Comedy,Youtube,Neither,,https://www.imdb.com/title/tt0115641/,"December 20, 1996"
My Girl,Not started,,,,"Drama, Family",Youtube,Collin,,https://www.imdb.com/title/tt0102492/,"November 27, 1991"
How High,Not started,,,,"Comedy, Stoner",Tubi,Neither,,https://www.imdb.com/title/tt0278488/,"December 17, 2001"
8 Mile,Not started,,,,Drama,Tubi,Neither,,https://www.imdb.com/title/tt0298203/,"November 8, 2002"
Jennifer’s Body,Not started,,,,"Comedy, Horror",Tubi,Neither,,https://www.imdb.com/title/tt1131734/,"September 18, 2009"
Scream 2,Not started,,,,"Horror, Mystery",Max,Neither,,https://www.imdb.com/title/tt0120082/,"December 10, 1997"
Conan the Barbarian,Not started,,,,Action,Netflix,Neither,,https://www.imdb.com/title/tt0082198/,"May 14, 1982"
Black Panther: Wakanda Forever,Not started,,,,"Action, Adventure",Disney +,Neither,,https://www.imdb.com/title/tt9114286/,"November 9, 2022"
Mad Max: Furiosa,Not started,,,,"Action, Adventure",Max,Neither,,https://www.imdb.com/title/tt12037194/,"May 22, 2024"
Mad Max: Fury Road,Not started,,,,"Action, Adventure",Max,Neither,,https://www.imdb.com/title/tt1392190/,"May 13, 2015"
Pretty Woman,Not started,,,,"Classic, Comedy",To Torrent,Neither,,https://www.imdb.com/title/tt0100405/,"March 23, 1990"
Madoka Magicka: The Movie,Not started,,,,"Bizarro, Drama",To Torrent,Valerie,,https://www.imdb.com/title/tt2205948/,"October 19, 2012"
Total Recall,Not started,,,,"Action, Adventure, Classic, Sci-Fi",Youtube,Neither,,https://www.imdb.com/title/tt0100802/,"June 1, 1990"
10 Things I Hate About You,Not started,,,,"Comedy, Drama, Romance",Youtube,"Collin, Valerie",,https://www.imdb.com/title/tt0147800/,"March 31, 1999"
Mean Girls (2024),Not started,,,,"Comedy, Musical",Prime Video,Neither,,https://www.imdb.com/title/tt11762114/,"January 10, 2024"
Nope,Not started,,,,Horror,To Torrent,Neither,,https://www.imdb.com/title/tt10954984/,"July 22, 2022"
Hellboy: Sword of Storms,Not started,,,,"Action, Adventure",Prime Video,Neither,,https://www.imdb.com/title/tt0810895/,"October 28, 2006"
BASEketball,Not started,,,,Comedy,To Torrent,Neither,,https://www.imdb.com/title/tt0131857/,"July 31, 1998"
Smile,Not started,,,,"Horror, Mystery",Prime Video,Neither,,https://www.imdb.com/title/tt15474916/,"September 22, 2022"
Borat Subsequent Movie Film,Not started,,,,"Bizarro, Comedy",Prime Video,Neither,,https://www.imdb.com/title/tt13143964/,"October 23, 2020"
The Batman,Not started,,,,"Action, Drama",Max,Neither,,https://www.imdb.com/title/tt1877830/,"March 1, 2022"
The Tale of the Princess Kaguya,Not started,,,,Family,Max,Neither,,https://www.imdb.com/title/tt2576852/,"October 17, 2014"
Life After Beth,Not started,,,,"Comedy, Horror",Max,Neither,,https://www.imdb.com/title/tt2581244/,"July 15, 2014"
Moonage Daydream,Not started,,,,Musical,Max,Neither,,https://www.imdb.com/title/tt9883832/,"April 29, 2023"
American Pain,Not started,,,,Documentary,Max,Neither,,https://www.imdb.com/title/tt19781504/,"February 5, 2023"
Scoob!,Not started,,,,"Family, Mystery",Max,Neither,,https://www.imdb.com/title/tt3152592/,"May 15, 2020"
The Spongebob Squarepants Movie,Not started,,,,"Comedy, Family",Max,"Collin, Valerie",,https://www.imdb.com/title/tt0345950/,"November 19, 2004"
The Secret World of Arrietty,Not started,,,,"Adventure, Drama, Family",Max,Neither,,https://www.imdb.com/title/tt1568921/,"February 17, 2012"
The Wind Rises,Not started,,,,Drama,Max,Neither,,https://www.imdb.com/title/tt2013293/,"February 21, 2014"
The Watch,Not started,,,,Comedy,To Torrent,Neither,,https://www.imdb.com/title/tt1298649/,"July 27, 2012"
Get Him to the Greek,Not started,,,,"Comedy, Drama",To Torrent,Neither,,https://www.imdb.com/title/tt1226229/,"May 25, 2010"
Arkansas,Not started,,,,"Drama, Thriller",To Torrent,Neither,,https://www.imdb.com/title/tt9139586/,"May 5, 2020"
The Sandlot,Not started,,,,"Comedy, Drama, Family",Hulu,Valerie,,https://www.imdb.com/title/tt0108037/,"April 7, 1993"
Fool’s Paradise,Not started,,,,Comedy,Hulu,Neither,,https://www.imdb.com/title/tt9013340/,"May 12, 2023"
The Retirement Plan,Not started,,,,"Action, Comedy",Hulu,Neither,,https://www.imdb.com/title/tt14827638/,"September 15, 2023"
Self Reliance,Not started,,,,Comedy,Hulu,Neither,,https://www.imdb.com/title/tt26084002/,"January 3, 2024"
My Cousin Vinny,Not started,,,,"Classic, Comedy",Hulu,Neither,,https://www.imdb.com/title/tt0104952/,"March 13, 1992"
Freaknik: The Wildest Party Never Told,Not started,,,,Documentary,Hulu,Neither,,https://www.imdb.com/title/tt27447224/,"March 21, 2024"
The Big Year,Not started,,,,"Adventure, Comedy",Hulu,Neither,,https://www.imdb.com/title/tt1053810/,"October 14, 2011"
Big,Not started,,,,"Comedy, Drama",Hulu,Neither,,https://www.imdb.com/title/tt0094737/,"June 3, 1988"
Solo,Not started,,,,"Action, Sci-Fi",Disney +,Valerie,,https://www.imdb.com/title/tt3778644/,"May 23, 2018"
Shrek the Third,Not started,,,,"Comedy, Family",Peacock,"Collin, Valerie",,https://www.imdb.com/title/tt0413267/,"May 17, 2007"
Won’t You Be My Neighbor?,Not started,,,,"Documentary, Family",Netflix,Neither,,https://www.imdb.com/title/tt7681902/,"June 29, 2018"
Maestro,Not started,,,,Drama,Netflix,Neither,,https://www.imdb.com/title/tt5535276/,"October 15, 2023"
El Camino,Not started,,,,"Action, Drama, Thriller",Netflix,Neither,,https://www.imdb.com/title/tt9243946/,"October 11, 2019"
Spider-Man: Across the Spider-Verse,Not started,,,,"Action, Comedy",Netflix,Neither,,https://www.imdb.com/title/tt9362722/,"May 31, 2023"
Hot Tub Time Machine,Not started,,,,"Comedy, Sci-Fi, Stoner",Netflix,Neither,,https://www.imdb.com/title/tt1231587/,"March 26, 2010"
Dumb and Dumber,Not started,,,,Comedy,Netflix,"Collin, Valerie",,https://www.imdb.com/title/tt0109686/,"December 16, 1994"
Knocked Up,Not started,,,,"Comedy, Romance",Netflix,Neither,,https://www.imdb.com/title/tt0478311/,"June 1, 2007"
Murder Mystery,Not started,,,,"Comedy, Mystery",Netflix,Neither,,https://www.imdb.com/title/tt1618434/,"June 14, 2019"
How to Marry A Millionaire,Not started,,,,"Classic, Comedy, Romance",To Torrent,Valerie,,https://imdb.com/title/tt0045891/,"November 20, 1953"
Selena,Not started,,,,"Classic, Drama, Musical",Tubi,Valerie,,https://imdb.com/title/tt0120094/,"March 21, 1997"
Shanghai Noon,Not started,,,,"Action, Comedy",Hulu,Collin,,https://imdb.com/title/tt0184894/,"May 26, 2000"
One Flew Over the Cuckoos Nest,Not started,,,,"Classic, Drama",To Torrent,Collin,,https://imdb.com/title/tt0073486/,"November 19, 1975"
Brother Bear,Not started,,,,Family,Disney +,Valerie,,https://imdb.com/title/tt0328880/,"September 21, 2003"
Slumdog Millionaire,Not started,,,,"Drama, Romance",To Torrent,Valerie,,https://www.imdb.com/title/tt1010048/,"December 25, 2008"
Happy Feet,Not started,,,,"Comedy, Family",To Torrent,Valerie,,https://imdb.com/title/tt0366548/,"November 12, 2006"
God Bless America,Not started,,,,"Action, Comedy",To Torrent,Collin,,https://www.imdb.com/title/tt1912398/,"May 11, 2012"
Seeking a Friend for the End of the World,Not started,,,,"Comedy, Drama",To Torrent,Valerie,,https://www.imdb.com/title/tt1307068/,"June 22, 2012"
Sound of Music [Abridged],Not started,,,,"Drama, Musical",Disney +,Valerie,,https://www.imdb.com/title/tt0059742/,"April 1, 1965"
Guardians of the Galaxy Vol. 2,Not started,,,,"Action, Adventure, Comedy",Disney +,Collin,,https://www.imdb.com/title/tt3896198/,"April 25, 2017"
27 Dresses,Not started,,,,"Comedy, Romance",Disney +,Valerie,,https://www.imdb.com/title/tt0988595/,"January 18, 2008"
Resevoir Dogs,Not started,,,,"Action, Classic",Torrent,Collin,,https://www.imdb.com/title/tt0105236/,"October 23, 1992"
9 to 5,Not started,,,,Comedy,To Torrent,Valerie,,https://www.imdb.com/title/tt0080319/,"December 19, 1980"
Steel Magnolias,Not started,,,,"Comedy, Drama",To Torrent,Valerie,,https://www.imdb.com/title/tt0098384/,"November 15, 1989"
School of Rock,Not started,,,,"Comedy, Family, Musical",Paramount+,"Collin, Valerie",,https://www.imdb.com/title/tt0332379/,"October 3, 2003"
